iter	Passed	Remaining
0	97	97241
1	97	48852
2	98	32723
3	99	24690
4	99	19874
5	100	16628
6	101	14329
7	101	12611
8	102	11253
9	102	10181
10	103	9296
11	103	8555
12	104	7935
13	105	7404
14	105	6948
15	106	6538
16	106	6177
17	107	5853
18	107	5574
19	108	5312
20	108	5077
21	109	4866
22	110	4674
23	110	4497
24	111	4338
25	111	4186
26	112	4043
27	113	3936
28	113	3813
29	114	3697
30	114	3588
31	115	3506
32	116	3414
33	116	3323
34	117	3238
35	118	3159
36	118	3085
37	119	3013
38	119	2944
39	119	2878
40	120	2815
41	120	2758
42	121	2701
43	121	2648
44	122	2597
45	122	2549
46	123	2502
47	123	2457
48	124	2416
49	125	2379
50	125	2342
51	126	2302
52	126	2265
53	127	2230
54	128	2199
55	128	2170
56	129	2138
57	129	2111
58	130	2082
59	130	2051
60	131	2026
61	132	1998
62	132	1971
63	133	1946
64	133	1924
65	134	1900
66	135	1880
67	135	1860
68	136	1843
69	137	1820
70	137	1798
71	137	1778
72	138	1758
73	139	1741
74	139	1723
75	140	1705
76	140	1686
77	141	1669
78	141	1653
79	142	1636
80	142	1620
81	143	1603
82	143	1585
83	144	1571
84	144	1557
85	145	1542
86	145	1527
87	146	1514
88	146	1501
89	147	1488
90	147	1475
91	148	1462
92	148	1450
93	149	1437
94	149	1425
95	150	1415
96	150	1403
97	151	1393
98	152	1384
99	152	1376
100	153	1365
101	153	1354
102	154	1345
103	155	1336
104	155	1327
105	156	1316
106	156	1307
107	157	1297
108	157	1288
109	158	1279
110	158	1269
111	159	1261
112	159	1252
113	160	1244
114	160	1235
115	161	1230
116	161	1221
117	162	1214
118	163	1206
119	163	1199
120	164	1192
121	164	1183
122	164	1175
123	165	1167
124	165	1160
125	166	1152
126	166	1144
127	166	1137
128	167	1130
129	167	1123
130	168	1116
131	168	1109
132	169	1103
133	169	1097
134	170	1092
135	170	1085
136	171	1079
137	171	1073
138	172	1068
139	172	1061
140	173	1055
141	173	1048
142	173	1042
143	174	1036
144	174	1030
145	175	1025
146	175	1019
147	176	1014
148	176	1009
149	177	1004
150	177	999
151	178	995
152	178	989
153	179	985
154	179	980
155	180	977
156	181	972
157	181	968
158	182	964
159	182	959
160	183	954
161	183	949
162	184	945
163	184	940
164	185	936
165	185	931
166	185	927
167	186	923
168	187	919
169	187	916
170	188	912
171	188	908
172	189	904
173	189	900
174	190	896
175	190	893
176	191	889
177	191	885
178	192	881
179	192	878
180	193	874
181	193	871
182	194	867
183	194	863
184	195	859
185	195	855
186	196	852
187	196	849
188	197	846
189	197	843
190	198	839
191	198	836
192	199	833
193	199	829
194	200	826
195	200	822
196	200	819
197	201	816
198	201	812
199	202	809
200	202	806
201	203	803
202	203	800
203	204	797
204	204	794
205	205	791
206	205	787
207	206	784
208	206	781
209	206	778
210	207	775
211	207	773
212	208	770
213	209	768
214	209	765
215	210	762
216	210	759
217	210	756
218	211	753
219	211	751
220	212	748
221	212	745
222	213	742
223	213	740
224	214	737
225	214	734
226	215	732
227	215	729
228	215	727
229	216	724
230	216	721
231	217	719
232	217	716
233	218	714
234	218	711
235	219	709
236	219	706
237	219	704
238	220	701
239	220	698
240	221	696
241	221	694
242	222	691
243	222	689
244	223	687
245	223	685
246	224	683
247	224	681
248	225	678
249	225	676
250	225	674
251	226	672
252	226	670
253	227	667
254	227	665
255	228	663
256	228	661
257	229	659
258	229	657
259	230	654
260	230	652
261	231	650
262	231	648
263	231	646
264	232	644
265	232	642
266	233	640
267	233	639
268	234	637
269	234	635
270	235	633
271	235	631
272	236	629
273	236	627
274	237	626
275	237	624
276	238	622
277	239	620
278	239	619
279	240	617
280	240	615
281	241	614
282	241	612
283	242	610
284	242	608
285	243	606
286	243	605
287	244	603
288	244	601
289	245	600
290	245	598
291	246	596
292	246	595
293	247	593
294	247	591
295	248	589
296	248	588
297	249	586
298	249	584
299	249	583
300	250	581
301	250	579
302	251	578
303	251	576
304	252	574
305	252	573
306	253	571
307	253	570
308	254	568
309	254	566
310	255	565
311	255	563
312	256	562
313	256	560
314	257	559
315	257	557
316	258	556
317	258	555
318	259	553
319	259	552
320	260	550
321	260	548
322	261	547
323	261	545
324	262	544
325	262	542
326	262	541
327	263	539
328	263	538
329	264	536
330	264	535
331	265	534
332	265	532
333	266	531
334	266	529
335	267	527
336	267	526
337	268	525
338	268	523
339	269	522
340	269	520
341	269	519
342	270	517
343	270	516
344	271	515
345	271	513
346	272	512
347	272	510
348	273	509
349	273	507
350	274	506
351	274	505
352	274	503
353	275	502
354	275	500
355	276	499
356	276	498
357	277	496
358	277	495
359	278	494
360	278	493
361	279	491
362	279	490
363	280	489
364	280	488
365	281	487
366	281	485
367	282	484
368	282	483
369	283	481
370	283	480
371	284	479
372	284	478
373	285	477
374	285	475
375	286	474
376	286	473
377	287	472
378	287	471
379	287	469
380	288	468
381	289	467
382	289	466
383	290	465
384	290	464
385	290	462
386	291	461
387	291	460
388	292	459
389	292	457
390	293	456
391	293	455
392	294	454
393	294	453
394	295	451
395	295	450
396	295	449
397	296	448
398	296	447
399	297	446
400	297	444
401	298	443
402	298	442
403	299	441
404	300	441
405	300	439
406	301	438
407	301	437
408	302	437
409	302	435
410	303	434
411	303	433
412	304	432
413	305	432
414	305	430
415	306	429
416	306	428
417	307	427
418	307	426
419	308	425
420	308	424
421	309	424
422	310	422
423	310	421
424	310	420
425	311	419
426	311	418
427	312	417
428	312	416
429	313	415
430	313	414
431	314	413
432	314	412
433	315	410
434	315	410
435	316	409
436	316	408
437	317	407
438	317	406
439	318	405
440	318	404
441	319	403
442	319	401
443	320	401
444	320	400
445	321	398
446	321	397
447	322	396
448	322	395
449	323	394
450	323	393
451	323	392
452	324	391
453	324	390
454	325	389
455	325	388
456	326	387
457	326	386
458	327	385
459	327	384
460	328	383
461	328	382
462	329	381
463	329	380
464	330	379
465	330	378
466	330	377
467	331	376
468	331	375
469	332	374
470	332	373
471	333	372
472	333	371
473	334	370
474	334	369
475	335	368
476	335	367
477	335	366
478	336	366
479	337	365
480	337	364
481	337	363
482	338	362
483	338	361
484	339	360
485	339	359
486	340	358
487	340	357
488	341	356
489	341	355
490	342	354
491	342	353
492	343	352
493	343	351
494	343	350
495	344	350
496	345	349
497	345	348
498	346	347
499	346	346
500	347	345
501	347	344
502	348	343
503	348	343
504	349	342
505	349	341
506	350	340
507	350	339
508	351	338
509	351	337
510	352	336
511	352	336
512	353	335
513	353	334
514	354	333
515	354	332
516	354	331
517	355	330
518	355	329
519	356	328
520	356	327
521	357	327
522	357	326
523	358	325
524	358	324
525	359	323
526	359	322
527	360	322
528	360	321
529	361	320
530	361	319
531	362	318
532	362	317
533	362	316
534	363	315
535	363	314
536	364	313
537	364	313
538	364	312
539	365	311
540	365	310
541	366	309
542	366	308
543	367	307
544	367	307
545	368	306
546	368	305
547	369	304
548	369	303
549	370	303
550	370	302
551	371	301
552	372	300
553	372	299
554	372	298
555	373	298
556	373	297
557	374	296
558	374	295
559	375	294
560	375	293
561	376	293
562	376	292
563	377	291
564	377	290
565	378	289
566	378	289
567	379	288
568	379	287
569	380	286
570	380	285
571	380	285
572	381	284
573	381	283
574	382	282
575	382	281
576	383	281
577	383	280
578	384	279
579	384	278
580	385	277
581	385	277
582	386	276
583	386	275
584	387	274
585	387	273
586	388	273
587	388	272
588	389	271
589	389	270
590	390	270
591	390	269
592	391	268
593	391	267
594	392	267
595	392	266
596	393	265
597	393	264
598	394	263
599	394	263
600	395	262
601	395	261
602	395	260
603	396	259
604	396	259
605	397	258
606	397	257
607	398	256
608	398	256
609	399	255
610	399	254
611	400	253
612	400	253
613	401	252
614	401	251
615	402	250
616	402	250
617	403	249
618	404	248
619	404	248
620	405	247
621	406	246
622	406	246
623	407	245
624	407	244
625	408	243
626	409	243
627	409	242
628	410	241
629	410	241
630	411	240
631	411	239
632	412	239
633	412	238
634	413	237
635	413	236
636	414	236
637	414	235
638	415	234
639	415	233
640	416	233
641	416	232
642	417	231
643	417	231
644	418	230
645	418	229
646	419	228
647	419	228
648	420	227
649	420	226
650	421	225
651	421	225
652	422	224
653	422	223
654	423	222
655	423	222
656	424	221
657	424	220
658	425	219
659	425	219
660	426	218
661	426	217
662	427	217
663	427	216
664	428	215
665	428	214
666	429	214
667	429	213
668	430	212
669	431	212
670	431	211
671	432	210
672	432	210
673	433	209
674	433	208
675	434	208
676	434	207
677	435	206
678	435	205
679	436	205
680	436	204
681	437	203
682	437	203
683	438	202
684	438	201
685	439	201
686	439	200
687	440	199
688	440	198
689	441	198
690	441	197
691	442	196
692	442	196
693	442	195
694	443	194
695	443	193
696	444	193
697	444	192
698	445	191
699	445	191
700	446	190
701	446	189
702	447	188
703	447	188
704	448	187
705	448	186
706	449	186
707	449	185
708	450	184
709	450	184
710	451	183
711	451	182
712	452	181
713	452	181
714	453	180
715	453	179
716	454	179
717	454	178
718	455	177
719	455	177
720	456	176
721	456	175
722	457	175
723	457	174
724	458	173
725	458	173
726	459	172
727	459	171
728	460	171
729	460	170
730	461	169
731	461	169
732	462	168
733	462	167
734	463	167
735	463	166
736	464	165
737	464	165
738	465	164
739	465	163
740	466	162
741	466	162
742	467	161
743	467	160
744	468	160
745	468	159
746	468	158
747	469	158
748	470	157
749	470	156
750	471	156
751	471	155
752	471	154
753	472	154
754	473	153
755	473	152
756	474	152
757	474	151
758	475	150
759	475	150
760	476	149
761	476	148
762	477	148
763	477	147
764	478	146
765	478	146
766	479	145
767	479	144
768	480	144
769	480	143
770	481	142
771	481	142
772	482	141
773	482	140
774	483	140
775	483	139
776	483	138
777	484	138
778	484	137
779	485	136
780	485	136
781	486	135
782	486	134
783	487	134
784	487	133
785	488	132
786	488	132
787	488	131
788	489	130
789	489	130
790	490	129
791	490	128
792	491	128
793	491	127
794	492	126
795	492	126
796	493	125
797	493	124
798	494	124
799	494	123
800	495	123
801	495	122
802	496	121
803	496	121
804	497	120
805	497	119
806	498	119
807	498	118
808	499	117
809	499	117
810	499	116
811	500	115
812	500	115
813	501	114
814	501	113
815	502	113
816	502	112
817	503	111
818	503	111
819	503	110
820	504	109
821	505	109
822	505	108
823	506	108
